@S1599781822573756629@|50|@mililitros@|@de@|@creme@|@de@|@leite@|@fresco@||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@B-PRODUCT@|@I-PRODUCT@|@I-PRODUCT@|@L-PRODUCT@||||||||
@S2958124792113772414@|200|@gramas@|@de@|@cebola@|||||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@U-PRODUCT@|||||||||||
@S11982932456913120258@|50|@mililitros@|@de@|@vinagre@|@balsâmico@||||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@B-PRODUCT@|@L-PRODUCT@||||||||||
@S8692207246133719623@|1|@pacote@|@de@|@biscoito@|@champanhe@||||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@B-PRODUCT@|@L-PRODUCT@||||||||||
@S6391536552830919858@|30|@mililitros@|@de@|@vodka@|||||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@U-PRODUCT@|||||||||||
@S1158129321295849328@|1|@pau@|@de@|@canela@|||||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@U-PRODUCT@|||||||||||
@S9153579344455864336@|3|@ramos@|@de@|@tomilho@|||||||||||
|@U-CARDINAL@|@B-PRODUCT@|@I-PRODUCT@|@L-PRODUCT@|||||||||||
@S9018450761929587647@|1|@quilo@|@de@|@açúcar@|||||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@U-PRODUCT@|||||||||||
@S18421713879652842111@|400|@gramas@|@de@|@abacaxi@|@em@|@conserva@|@escorrido@|@picado@|||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@B-PRODUCT@|@I-PRODUCT@|@L-PRODUCT@|@O@|@O@|||||||
@S17853688403073939895@|@sal@|@e@|@pimenta-do-reino@|@a@|@gosto@||||||||||
|@U-PRODUCT@|@O@|@U-PRODUCT@|@O@|@O@||||||||||
@S14815882093924908198@|100|@gramas@|@de@|@chocolate@|@forneavel@|@em@|@gotas@||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@B-PRODUCT@|@I-PRODUCT@|@I-PRODUCT@|@L-PRODUCT@||||||||
@S14208533951172043833@|@óleo@||||||||||||||
|@U-PRODUCT@||||||||||||||
@S17996983223396923275@|1|@talo@|@grande@|@de@|@alho@|@poró@|||||||||
|@U-CARDINAL@|@B-QUANTITY@|@L-QUANTITY@|@O@|@B-PRODUCT@|@L-PRODUCT@|||||||||
@S736428218772690318@|170|@gramas@|@de@|@iogurte@|@grego@|@ou@|@coalhada@||||||||
|@U-CARDINAL@|@U-QUANTITY@|@O@|@B-PRODUCT@|@I-PRODUCT@|@I-PRODUCT@|@L-PRODUCT@||||||||
@S13611743025597106250@|20|@gramas@|@de@|@pimentão@|@vermelho@||||||||||
